s,a,s',r,features,done
"[3.5106132674785797e-32, 4.75109840888424e-33, 1.177679552257788e-35, 5.346656895521819e-40, 4.445898759819517e-46, 6.771094805909328e-54, 1.888775291487511e-63, 2.670402065382549e-23, 3.613996198741828e-24, 8.95820094409525e-27, 4.067016936601499e-31, 3.381841383864761e-37, 5.1505375776090505e-45, 1.4367260233863258e-54, 6.723127948370088e-16, 9.098764251286527e-17, 2.255358169285053e-19, 1.0239310247478854e-23, 8.514280534590127e-30, 1.296723200826068e-37, 3.6171679939872316e-47, 5.602310217199156e-10, 7.58190240024017e-11, 1.8793657077867208e-13, 8.532307113153976e-18, 7.094858404799187e-24, 1.0805454979669424e-31, 3.014147189472035e-41, 1.5451263044967022e-05, 2.0911010605540186e-06, 5.183321305477604e-09, 2.353224232050753e-13, 1.956773531440633e-19, 2.9801621248830428e-27, 8.313067158937883e-37, 0.01410463573443019, 0.0019088548720683583, 4.731578169079634e-06, 2.1481331654192209e-10, 1.7862344195049375e-16, 2.7204314028368527e-24, 7.588556597052156e-34, 0.426148357425523, 0.05767290865300042, 0.00014295684785830499, 6.490230851833291e-09, 5.396813346911395e-15, 8.219335795945472e-23, 2.2927574947365626e-32, 0.426148357425523, 0.05767290865300042, 0.00014295684785830499, 6.490230851833291e-09, 5.396813346911395e-15, 8.219335795945472e-23, 2.2927574947365626e-32, 0.014104635734430247, 0.0019088548720683667, 4.731578169079652e-06, 2.1481331654192364e-10, 1.78623441950495e-16, 2.7204314028368527e-24, 7.588556597052265e-34, 1.545126304496713e-05, 2.0911010605540335e-06, 5.18332130547764e-09, 2.3532242320507703e-13, 1.956773531440661e-19, 2.9801621248830643e-27, 8.313067158938e-37, 5.602310217199216e-10, 7.581902400240252e-11, 1.879365707786741e-13, 8.532307113154097e-18, 7.094858404799288e-24, 1.0805454979669577e-31, 3.014147189472078e-41, 6.723127948370231e-16, 9.098764251286721e-17, 2.2553581692851005e-19, 1.0239310247478998e-23, 8.51428053459025e-30, 1.2967232008260865e-37, 3.6171679939873347e-47, 2.670402065382549e-23, 3.613996198741828e-24, 8.95820094409525e-27, 4.067016936601499e-31, 3.381841383864761e-37, 5.1505375776090505e-45, 1.4367260233863258e-54, 3.5106132674785797e-32, 4.75109840888424e-33, 1.177679552257788e-35, 5.346656895521819e-40, 4.445898759819517e-46, 6.771094805909328e-54, 1.888775291487511e-63]","[1.7716007, -0.31871185]","[3.7457732659104516e-29, 9.958033207841573e-29, 4.848726939532466e-30, 4.324181917988443e-33, 7.063212267007836e-38, 2.1131125635309083e-44, 1.1578840688354844e-52, 7.783327884627659e-21, 2.0691758961497817e-20, 1.0075151087457887e-21, 8.985201001561842e-25, 1.4676621645299584e-29, 4.390828480935672e-36, 2.40596286009927e-44, 5.352913461465358e-14, 1.423057035861944e-13, 6.929094171770312e-15, 6.179490843527974e-18, 1.0093713992073015e-22, 3.019752634217915e-29, 1.6546792287971592e-37, 1.2184737412193893e-08, 3.239278278899371e-08, 1.5772568264959758e-09, 1.4066260142534144e-12, 2.2976133537852557e-17, 6.873806790004393e-24, 3.7665155712764916e-32, 9.180010587215739e-05, 0.0002440480076778283, 1.1883091014748717e-05, 1.0597554355317414e-08, 1.731027448483958e-13, 5.1787426328585963e-20, 2.837701925905164e-28, 0.022891341563685174, 0.06085598974656974, 0.002963176269423818, 2.6426139074951505e-06, 4.3165027101977356e-11, 1.2913750518357451e-17, 7.076114283820666e-26, 0.18892975649322727, 0.5022644606471386, 0.024456066476980516, 2.1810360072592425e-05, 3.5625513850780514e-10, 1.0658142224036561e-16, 5.840149406888959e-25, 0.05160960555587506, 0.13720268940092767, 0.006680620182615168, 5.957897269710671e-06, 9.731758256037651e-11, 2.911465755055165e-17, 1.595343226347306e-25, 0.00046661830377423577, 0.0012404916780891038, 6.040154006596462e-05, 5.386718011327774e-08, 8.798781702093955e-13, 2.632345660246908e-19, 1.4423988368017167e-27, 1.396349253426006e-07, 3.7121553410364434e-07, 1.8075082930672548e-08, 1.611968414589501e-11, 2.63302407158072e-16, 7.877260424021731e-23, 4.3163599083440885e-31, 1.3830166209995996e-12, 3.676710911535495e-12, 1.7902498288112507e-13, 1.596577005669445e-16, 2.6078834113697255e-21, 7.802046706892684e-28, 4.275146408256697e-36, 4.53379414756362e-19, 1.2052964628114688e-18, 5.868782828274875e-20, 5.2338861113664426e-23, 8.549142771292616e-28, 2.557660780183652e-34, 1.4014751139955664e-42, 4.9192313904644685e-27, 1.3077638731930908e-26, 6.367713172020124e-28, 5.678841168160546e-31, 9.275941984420434e-36, 2.7750984686414462e-42, 1.520620511062819e-50, 1.766581836956129e-36, 4.696408284205951e-36, 2.2867569219131777e-37, 2.039370963943209e-40, 3.3311526394347615e-45, 9.965862878436031e-52, 5.460813616033019e-60]",-1.0,"[-1.0, 0.0, 0.0, 0.0]",0
"[3.7457732659104516e-29, 9.958033207841573e-29, 4.848726939532466e-30, 4.324181917988443e-33, 7.063212267007836e-38, 2.1131125635309083e-44, 1.1578840688354844e-52, 7.783327884627659e-21, 2.0691758961497817e-20, 1.0075151087457887e-21, 8.985201001561842e-25, 1.4676621645299584e-29, 4.390828480935672e-36, 2.40596286009927e-44, 5.352913461465358e-14, 1.423057035861944e-13, 6.929094171770312e-15, 6.179490843527974e-18, 1.0093713992073015e-22, 3.019752634217915e-29, 1.6546792287971592e-37, 1.2184737412193893e-08, 3.239278278899371e-08, 1.5772568264959758e-09, 1.4066260142534144e-12, 2.2976133537852557e-17, 6.873806790004393e-24, 3.7665155712764916e-32, 9.180010587215739e-05, 0.0002440480076778283, 1.1883091014748717e-05, 1.0597554355317414e-08, 1.731027448483958e-13, 5.1787426328585963e-20, 2.837701925905164e-28, 0.022891341563685174, 0.06085598974656974, 0.002963176269423818, 2.6426139074951505e-06, 4.3165027101977356e-11, 1.2913750518357451e-17, 7.076114283820666e-26, 0.18892975649322727, 0.5022644606471386, 0.024456066476980516, 2.1810360072592425e-05, 3.5625513850780514e-10, 1.0658142224036561e-16, 5.840149406888959e-25, 0.05160960555587506, 0.13720268940092767, 0.006680620182615168, 5.957897269710671e-06, 9.731758256037651e-11, 2.911465755055165e-17, 1.595343226347306e-25, 0.00046661830377423577, 0.0012404916780891038, 6.040154006596462e-05, 5.386718011327774e-08, 8.798781702093955e-13, 2.632345660246908e-19, 1.4423988368017167e-27, 1.396349253426006e-07, 3.7121553410364434e-07, 1.8075082930672548e-08, 1.611968414589501e-11, 2.63302407158072e-16, 7.877260424021731e-23, 4.3163599083440885e-31, 1.3830166209995996e-12, 3.676710911535495e-12, 1.7902498288112507e-13, 1.596577005669445e-16, 2.6078834113697255e-21, 7.802046706892684e-28, 4.275146408256697e-36, 4.53379414756362e-19, 1.2052964628114688e-18, 5.868782828274875e-20, 5.2338861113664426e-23, 8.549142771292616e-28, 2.557660780183652e-34, 1.4014751139955664e-42, 4.9192313904644685e-27, 1.3077638731930908e-26, 6.367713172020124e-28, 5.678841168160546e-31, 9.275941984420434e-36, 2.7750984686414462e-42, 1.520620511062819e-50, 1.766581836956129e-36, 4.696408284205951e-36, 2.2867569219131777e-37, 2.039370963943209e-40, 3.3311526394347615e-45, 9.965862878436031e-52, 5.460813616033019e-60]","[2.035807, 0.3464628]","[6.792420845173385e-33, 7.488480854292226e-31, 1.5121153908478077e-30, 5.592399861152746e-32, 3.7882058558694527e-35, 4.699925764480662e-40, 1.0679981438156506e-46, 2.7377358467654845e-24, 3.018288021299646e-22, 6.094693783456481e-22, 2.2540584451865598e-23, 1.526864604378921e-26, 1.8943401087550128e-31, 4.304646118446552e-38, 3.6522420684514984e-17, 4.026509167828447e-15, 8.130549576785494e-15, 3.0069983150437665e-16, 2.0368945190715225e-19, 2.5271205932172043e-24, 5.742559006253779e-31, 1.6126073038611616e-11, 1.7778608239560432e-09, 3.5899547144443964e-09, 1.327707023426774e-10, 8.993683652634203e-14, 1.1158222949027807e-18, 2.5355637503690697e-25, 2.356669852286202e-07, 2.5981719141082547e-05, 5.246372149218684e-05, 1.940315603982852e-06, 1.3143400178340657e-09, 1.6306665340098083e-14, 3.705481573063108e-21, 0.00011399083253309225, 0.012567215525160904, 0.02537641530432066, 0.0009385200513359588, 6.357390820743163e-07, 7.887444888188622e-12, 1.7923211816866814e-18, 0.0018249129822246084, 0.20119227355956776, 0.40625854467493244, 0.01502504532778006, 1.0177735159958338e-05, 1.2627244010046094e-10, 2.8693800370539687e-17, 0.0009669754577620206, 0.10660672191957693, 0.2152661776387234, 0.007961393351486956, 5.392925696262064e-06, 6.690858783854183e-11, 1.520412261762275e-17, 1.6958592256014135e-05, 0.00186964406828754, 0.003775288507874688, 0.0001396250779208888, 9.457988536912557e-08, 1.173427361026971e-12, 2.6664639108779143e-19, 9.843854838649364e-09, 1.0852613548531714e-06, 2.19141963463153e-06, 8.104735217045543e-08, 5.4900232765463876e-11, 6.811325156752042e-16, 1.5477867074651122e-22, 1.891218288822921e-13, 2.0850227437249274e-11, 4.210193018317029e-11, 1.5570956418783173e-12, 1.0547526956515559e-15, 1.3086034809242024e-20, 2.9736343905256546e-27, 1.2025943884277281e-19, 1.3258314316050737e-17, 2.6771920131847612e-17, 9.901313308119557e-19, 6.706997708651896e-22, 8.321192810671831e-27, 1.8908848610530466e-33, 2.5310326220472816e-27, 2.7904026802547805e-25, 5.6345351234459765e-25, 2.083873600701368e-26, 1.4115840020497902e-29, 1.7513145463526685e-34, 3.979638782547131e-41, 1.7631017164829303e-36, 1.943777299581496e-34, 3.924982420690945e-34, 1.451613499694102e-35, 9.833007110594647e-39, 1.219954913215729e-43, 2.7721918348153994e-50]",-10.0,"[0.0, -1.0, 0.0, 0.0]",0
"[6.792420845173385e-33, 7.488480854292226e-31, 1.5121153908478077e-30, 5.592399861152746e-32, 3.7882058558694527e-35, 4.699925764480662e-40, 1.0679981438156506e-46, 2.7377358467654845e-24, 3.018288021299646e-22, 6.094693783456481e-22, 2.2540584451865598e-23, 1.526864604378921e-26, 1.8943401087550128e-31, 4.304646118446552e-38, 3.6522420684514984e-17, 4.026509167828447e-15, 8.130549576785494e-15, 3.0069983150437665e-16, 2.0368945190715225e-19, 2.5271205932172043e-24, 5.742559006253779e-31, 1.6126073038611616e-11, 1.7778608239560432e-09, 3.5899547144443964e-09, 1.327707023426774e-10, 8.993683652634203e-14, 1.1158222949027807e-18, 2.5355637503690697e-25, 2.356669852286202e-07, 2.5981719141082547e-05, 5.246372149218684e-05, 1.940315603982852e-06, 1.3143400178340657e-09, 1.6306665340098083e-14, 3.705481573063108e-21, 0.00011399083253309225, 0.012567215525160904, 0.02537641530432066, 0.0009385200513359588, 6.357390820743163e-07, 7.887444888188622e-12, 1.7923211816866814e-18, 0.0018249129822246084, 0.20119227355956776, 0.40625854467493244, 0.01502504532778006, 1.0177735159958338e-05, 1.2627244010046094e-10, 2.8693800370539687e-17, 0.0009669754577620206, 0.10660672191957693, 0.2152661776387234, 0.007961393351486956, 5.392925696262064e-06, 6.690858783854183e-11, 1.520412261762275e-17, 1.6958592256014135e-05, 0.00186964406828754, 0.003775288507874688, 0.0001396250779208888, 9.457988536912557e-08, 1.173427361026971e-12, 2.6664639108779143e-19, 9.843854838649364e-09, 1.0852613548531714e-06, 2.19141963463153e-06, 8.104735217045543e-08, 5.4900232765463876e-11, 6.811325156752042e-16, 1.5477867074651122e-22, 1.891218288822921e-13, 2.0850227437249274e-11, 4.210193018317029e-11, 1.5570956418783173e-12, 1.0547526956515559e-15, 1.3086034809242024e-20, 2.9736343905256546e-27, 1.2025943884277281e-19, 1.3258314316050737e-17, 2.6771920131847612e-17, 9.901313308119557e-19, 6.706997708651896e-22, 8.321192810671831e-27, 1.8908848610530466e-33, 2.5310326220472816e-27, 2.7904026802547805e-25, 5.6345351234459765e-25, 2.083873600701368e-26, 1.4115840020497902e-29, 1.7513145463526685e-34, 3.979638782547131e-41, 1.7631017164829303e-36, 1.943777299581496e-34, 3.924982420690945e-34, 1.451613499694102e-35, 9.833007110594647e-39, 1.219954913215729e-43, 2.7721918348153994e-50]","[2.272789, -0.6651516]","[4.7645983558161834e-32, 2.7761009314742737e-28, 2.9625540294738925e-26, 5.790544181371028e-26, 2.072977326945644e-27, 1.3592263866524194e-30, 1.6323418459274023e-35, 3.355740075046588e-24, 1.9552273775082053e-20, 2.086547603547852e-18, 4.078320923322811e-18, 1.4600124860897777e-19, 9.573126874760361e-23, 1.1496698230329145e-27, 7.822604761693739e-18, 4.557853305511842e-14, 4.86397541346747e-12, 9.507021390522156e-12, 3.4034521060632763e-13, 2.2316027523007277e-16, 2.6800087107187583e-21, 6.035531451271235e-13, 3.516612153333585e-09, 3.7528006949742353e-07, 7.335143262176157e-07, 2.6259337976053712e-08, 1.7217933167491798e-11, 2.0677609768081653e-16, 1.5412770174047291e-09, 8.980275448515153e-06, 0.0009583423611927341, 0.0018731553005132701, 6.705774701286692e-05, 4.39689609647817e-08, 5.280384166284986e-13, 1.3027075897779468e-07, 0.0007590246823232323, 0.0810003557721033, 0.15832154760344766, 0.005667808901359348, 3.7163143624836318e-06, 4.463050089428803e-11, 3.6443009989136647e-07, 0.0021233578661057607, 0.22659703510513418, 0.4429016754090987, 0.015855593229787208, 1.0396322436245908e-05, 1.2485302171210585e-10, 3.374291457888602e-08, 0.00019660363706996284, 0.02098082568278694, 0.041008669164895165, 0.0014680838056729043, 9.62604954984162e-07, 1.1560254896078091e-11, 1.0340749095777487e-10, 6.025054171016717e-07, 6.429718858480021e-05, 0.00012567389743246255, 4.4990441624556355e-06, 2.949969331953311e-09, 3.5427199118826945e-14, 1.0488719340955833e-14, 6.111269273485655e-11, 6.521724482744262e-09, 1.2747221951177816e-08, 4.5634229285992337e-10, 2.992181717272268e-13, 3.59341422127016e-18, 3.5212266843836695e-20, 2.0516484178601977e-16, 2.1894446338331174e-14, 4.27944123845325e-14, 1.5320122567840097e-15, 1.0045220741337852e-18, 1.2063652036691034e-23, 3.9126099931209565e-27, 2.2796885351604824e-23, 2.432800759948778e-21, 4.755099871531492e-21, 1.7022949678475823e-22, 1.1161744067761834e-25, 1.340452340703325e-30, 1.4389317355953744e-35, 8.383959010181784e-32, 8.947056379311022e-30, 1.7487723343502373e-29, 6.2604917354063675e-31, 4.104929392894772e-34, 4.929751282346966e-39, 1.7515191018491517e-45, 1.0205254350984034e-41, 1.0890676580428978e-39, 2.1286681450057933e-39, 7.620494141784949e-41, 4.996666669821101e-44, 6.000669333228249e-49]",-10.0,"[0.0, -1.0, 0.0, 0.0]",0
"[4.7645983558161834e-32, 2.7761009314742737e-28, 2.9625540294738925e-26, 5.790544181371028e-26, 2.072977326945644e-27, 1.3592263866524194e-30, 1.6323418459274023e-35, 3.355740075046588e-24, 1.9552273775082053e-20, 2.086547603547852e-18, 4.078320923322811e-18, 1.4600124860897777e-19, 9.573126874760361e-23, 1.1496698230329145e-27, 7.822604761693739e-18, 4.557853305511842e-14, 4.86397541346747e-12, 9.507021390522156e-12, 3.4034521060632763e-13, 2.2316027523007277e-16, 2.6800087107187583e-21, 6.035531451271235e-13, 3.516612153333585e-09, 3.7528006949742353e-07, 7.335143262176157e-07, 2.6259337976053712e-08, 1.7217933167491798e-11, 2.0677609768081653e-16, 1.5412770174047291e-09, 8.980275448515153e-06, 0.0009583423611927341, 0.0018731553005132701, 6.705774701286692e-05, 4.39689609647817e-08, 5.280384166284986e-13, 1.3027075897779468e-07, 0.0007590246823232323, 0.0810003557721033, 0.15832154760344766, 0.005667808901359348, 3.7163143624836318e-06, 4.463050089428803e-11, 3.6443009989136647e-07, 0.0021233578661057607, 0.22659703510513418, 0.4429016754090987, 0.015855593229787208, 1.0396322436245908e-05, 1.2485302171210585e-10, 3.374291457888602e-08, 0.00019660363706996284, 0.02098082568278694, 0.041008669164895165, 0.0014680838056729043, 9.62604954984162e-07, 1.1560254896078091e-11, 1.0340749095777487e-10, 6.025054171016717e-07, 6.429718858480021e-05, 0.00012567389743246255, 4.4990441624556355e-06, 2.949969331953311e-09, 3.5427199118826945e-14, 1.0488719340955833e-14, 6.111269273485655e-11, 6.521724482744262e-09, 1.2747221951177816e-08, 4.5634229285992337e-10, 2.992181717272268e-13, 3.59341422127016e-18, 3.5212266843836695e-20, 2.0516484178601977e-16, 2.1894446338331174e-14, 4.27944123845325e-14, 1.5320122567840097e-15, 1.0045220741337852e-18, 1.2063652036691034e-23, 3.9126099931209565e-27, 2.2796885351604824e-23, 2.432800759948778e-21, 4.755099871531492e-21, 1.7022949678475823e-22, 1.1161744067761834e-25, 1.340452340703325e-30, 1.4389317355953744e-35, 8.383959010181784e-32, 8.947056379311022e-30, 1.7487723343502373e-29, 6.2604917354063675e-31, 4.104929392894772e-34, 4.929751282346966e-39, 1.7515191018491517e-45, 1.0205254350984034e-41, 1.0890676580428978e-39, 2.1286681450057933e-39, 7.620494141784949e-41, 4.996666669821101e-44, 6.000669333228249e-49]","[3.8492122, 0.23285992]","[2.91980205012209e-38, 3.898539483319712e-33, 9.533942694698255e-30, 4.270367092700952e-28, 3.5033211806198615e-28, 5.264010806273473e-30, 1.448690665886172e-33, 4.570739056117712e-30, 6.102881761276041e-25, 1.4924698142335918e-21, 6.684951006782142e-20, 5.484196076139532e-20, 8.240428416390001e-22, 2.267820521093996e-25, 2.368211593007789e-23, 3.162052167135879e-18, 7.732850799153396e-15, 3.463636466352387e-13, 2.8414959958079253e-13, 4.269567321049644e-15, 1.1750132271776346e-18, 4.06121174237096e-18, 5.422557439156841e-13, 1.3260953776363582e-09, 5.9397399835329676e-08, 4.872840306223996e-08, 7.321819127262936e-10, 2.0150131558110854e-13, 2.305110873819244e-14, 3.0777996592742268e-09, 7.526809899664131e-06, 0.0003371348280330587, 0.0002765784669406086, 4.155805202251841e-06, 1.1437051380229854e-09, 4.330410442714382e-12, 5.781993368076482e-07, 0.0014139960276976853, 0.063334575204106, 0.05195838061729014, 0.0007807148215782221, 2.148578937929733e-07, 2.692572209832756e-11, 3.5951406607456535e-06, 0.008791975863161423, 0.3938031264520174, 0.32306797142844407, 0.004854345933704169, 1.3359481775300986e-06, 5.541236836174467e-12, 7.398696973772084e-07, 0.0018093635646166375, 0.08104356059710402, 0.06648646737606531, 0.0009990105522572443, 2.7493432582852634e-07, 3.774393032550872e-14, 5.03959515418217e-09, 1.2324413183456673e-05, 0.0005520252237801886, 0.00045287012023183693, 6.804723528994135e-06, 1.8727050196480516e-09, 8.509197167489301e-18, 1.1361537720484224e-12, 2.778482814248992e-09, 1.244515722147362e-07, 1.0209750577334292e-07, 1.534093923952899e-09, 4.221928164688917e-13, 6.349376900028133e-23, 8.47773106337908e-18, 2.0732431333616697e-14, 9.286304245146363e-13, 7.618292677298817e-13, 1.1447073480016842e-14, 3.1503104975488127e-18, 1.568103355582807e-29, 2.0937422266040675e-24, 5.120281195386343e-21, 2.293435257830168e-19, 1.881487033953091e-19, 2.82707966753994e-21, 7.780310635382423e-25, 1.2817971938014058e-37, 1.711464299243953e-32, 4.1854142103286806e-29, 1.8746971410945843e-27, 1.5379629102307905e-27, 2.310908124521481e-29, 6.359772335051156e-33, 3.4678875336758414e-47, 4.630346935054095e-42, 1.1323589904439391e-38, 5.071971507238937e-37, 4.160940926877637e-37, 6.252135295078436e-39, 1.720629074895381e-42]",-10.0,"[0.0, -1.0, 0.0, 0.0]",0
"[2.91980205012209e-38, 3.898539483319712e-33, 9.533942694698255e-30, 4.270367092700952e-28, 3.5033211806198615e-28, 5.264010806273473e-30, 1.448690665886172e-33, 4.570739056117712e-30, 6.102881761276041e-25, 1.4924698142335918e-21, 6.684951006782142e-20, 5.484196076139532e-20, 8.240428416390001e-22, 2.267820521093996e-25, 2.368211593007789e-23, 3.162052167135879e-18, 7.732850799153396e-15, 3.463636466352387e-13, 2.8414959958079253e-13, 4.269567321049644e-15, 1.1750132271776346e-18, 4.06121174237096e-18, 5.422557439156841e-13, 1.3260953776363582e-09, 5.9397399835329676e-08, 4.872840306223996e-08, 7.321819127262936e-10, 2.0150131558110854e-13, 2.305110873819244e-14, 3.0777996592742268e-09, 7.526809899664131e-06, 0.0003371348280330587, 0.0002765784669406086, 4.155805202251841e-06, 1.1437051380229854e-09, 4.330410442714382e-12, 5.781993368076482e-07, 0.0014139960276976853, 0.063334575204106, 0.05195838061729014, 0.0007807148215782221, 2.148578937929733e-07, 2.692572209832756e-11, 3.5951406607456535e-06, 0.008791975863161423, 0.3938031264520174, 0.32306797142844407, 0.004854345933704169, 1.3359481775300986e-06, 5.541236836174467e-12, 7.398696973772084e-07, 0.0018093635646166375, 0.08104356059710402, 0.06648646737606531, 0.0009990105522572443, 2.7493432582852634e-07, 3.774393032550872e-14, 5.03959515418217e-09, 1.2324413183456673e-05, 0.0005520252237801886, 0.00045287012023183693, 6.804723528994135e-06, 1.8727050196480516e-09, 8.509197167489301e-18, 1.1361537720484224e-12, 2.778482814248992e-09, 1.244515722147362e-07, 1.0209750577334292e-07, 1.534093923952899e-09, 4.221928164688917e-13, 6.349376900028133e-23, 8.47773106337908e-18, 2.0732431333616697e-14, 9.286304245146363e-13, 7.618292677298817e-13, 1.1447073480016842e-14, 3.1503104975488127e-18, 1.568103355582807e-29, 2.0937422266040675e-24, 5.120281195386343e-21, 2.293435257830168e-19, 1.881487033953091e-19, 2.82707966753994e-21, 7.780310635382423e-25, 1.2817971938014058e-37, 1.711464299243953e-32, 4.1854142103286806e-29, 1.8746971410945843e-27, 1.5379629102307905e-27, 2.310908124521481e-29, 6.359772335051156e-33, 3.4678875336758414e-47, 4.630346935054095e-42, 1.1323589904439391e-38, 5.071971507238937e-37, 4.160940926877637e-37, 6.252135295078436e-39, 1.720629074895381e-42]","[3.379146, -0.10466763]","[6.012108211118984e-42, 1.8191962760650159e-35, 1.0082178920722713e-30, 1.0234139078181104e-27, 1.9026999259663987e-26, 6.4790504308939e-27, 4.040866399116787e-29, 5.216564011824536e-34, 1.5784735555183376e-27, 8.748068043976328e-23, 8.879920276303573e-20, 1.6509276963346874e-18, 5.621718725236776e-19, 3.506164143093541e-21, 1.4981087783332623e-27, 4.533108545258426e-21, 2.512296887459041e-16, 2.550162614064608e-13, 4.7411845587751964e-12, 1.6144623458098844e-12, 1.0069109224270036e-14, 1.423977779773458e-22, 4.30879648734908e-16, 2.3879807632632868e-11, 2.4239727780496272e-08, 4.5065762641162805e-07, 1.534573817311149e-07, 9.570858942182157e-10, 4.479856800329005e-19, 1.3555542452463974e-12, 7.512625557304559e-08, 7.625857009710917e-05, 0.001417776078374935, 0.0004827793697863658, 3.0110074838348664e-06, 4.664725657818185e-17, 1.4114934807516273e-10, 7.822646739995245e-06, 0.007940550879536752, 0.14762830029189106, 0.05027020759106324, 0.0003135261793344728, 1.6076412385906218e-16, 4.864541441692189e-10, 2.695980517753544e-05, 0.02736614752397071, 0.5087830688060062, 0.17325018602209719, 0.0010805300295229187, 1.8338053048220145e-17, 5.5488884504618e-11, 3.07525289627891e-06, 0.0031216035827741164, 0.05803590180344079, 0.019762314038873897, 0.00012325397312498146, 6.923383156793564e-20, 2.0949378178717026e-13, 1.161036782312322e-08, 1.1785361079682623e-05, 0.00021910983896639347, 7.461101339178708e-05, 4.653353762787878e-07, 8.651363609117556e-24, 2.6178052536519083e-17, 1.4508154669278246e-12, 1.4726823816623354e-09, 2.737966171023487e-08, 9.323288795069824e-09, 5.814766349343263e-11, 3.578094607053699e-29, 1.0826911552460128e-22, 6.00038934044304e-18, 6.090828135088081e-15, 1.1323881914418741e-13, 3.855994368620285e-14, 2.4049138443257194e-16, 4.8980152069293166e-36, 1.482084272547916e-29, 8.213868403325116e-25, 8.337669096183967e-22, 1.5501140106512076e-20, 5.2784292003077216e-21, 3.2920606843767987e-23, 2.2191644912680526e-44, 6.714941974970151e-38, 3.7214921404940605e-33, 3.7775830446623065e-30, 7.023167190227724e-29, 2.3915202701746857e-29, 1.4915478750521614e-31, 3.327820677659322e-54, 1.0069610811418217e-47, 5.580685228883679e-43, 5.6647981783537005e-40, 1.0531820011658279e-38, 3.5862824218051245e-39, 2.2366993883725818e-41]",-10.0,"[0.0, -1.0, 0.0, 0.0]",0
