episodes,csi_mean,csi_high,csi_low,pgirl_mean,pgirl_high,pgirl_low,ra_pgirl_cov_estimation_mean,ra_pgirl_cov_estimation_high,ra_pgirl_cov_estimation_low,ra_pgirl_diag_mean,ra_pgirl_diag_high,ra_pgirl_diag_low,re_irl_mean,re_irl_high,re_irl_low,csi_w_mean,csi_w_high,csi_w_low,pgirl_w_mean,pgirl_w_high,pgirl_w_low,ra_pgirl_cov_estimation_w_mean,ra_pgirl_cov_estimation_w_high,ra_pgirl_cov_estimation_w_low,ra_pgirl_diag_w_mean,ra_pgirl_diag_w_high,ra_pgirl_diag_w_low,re_irl_w_mean,re_irl_w_high,re_irl_w_low
2,-11.285227793222166,6.209590470622523,-28.780046057066855,-2.165509015012906,-1.9421498665762087,-2.3888681634496036,-3.243090966093135,-2.459750022788774,-4.026431909397496,-2.790961332757178,-2.354807411916323,-3.227115253598033,-2.256020417695885,-1.7523332383208656,-2.7597075970709044,0.9757819306607042,1.1640555197868956,0.7875083415345127,0.09878236572439983,0.1642649331335975,0.03329979831520216,0.014002114478941539,0.01400211447894154,0.014002114478941537,0.45639495087670656,0.80164181067178,0.1111480910816332,0.20067210397491603,0.38529612644700567,0.016048081502826383
5,-1.8662392189147166,-1.6481391721218064,-2.0843392657076265,-1.7179060532291484,-1.4824459675524844,-1.9533661389058123,-2.3803754318855868,-1.9743635860209512,-2.7863872777502223,-2.0693842086573335,-1.7450977576476094,-2.3936706596670576,-1.7913175019432566,-1.5072807682983118,-2.0753542355882013,0.8144677244170898,0.9473563349896775,0.6815791138445021,0.19239982214700868,0.26322749968501274,0.12157214460900463,0.038250284930636216,0.06743829403249633,0.009062275828776101,0.702643524064638,1.1176368136362915,0.2876502344929845,0.3123631562333104,0.48613445163416275,0.13859186083245806
10,-1.8943084912821202,-1.765449926221967,-2.0231670563422735,-2.323430739561773,-2.030497609963024,-2.6163638691605215,-2.7277266093660355,-2.1558200546061115,-3.2996331641259595,-2.1039304465057316,-1.7395753368904134,-2.4682855561210495,-2.305653960262135,-1.7861402288813482,-2.825167691642922,0.8015794740326296,0.928233741343383,0.6749252067218763,0.15647201393519394,0.20334991720417306,0.10959411066621484,0.05386371349831085,0.08165827178273716,0.02606915521388454,0.5028309427765326,0.8851749108730702,0.12048697467999508,0.3479126898662018,0.4995809614672435,0.19624441826516006
20,-2.0925454739137868,-1.911109346650135,-2.2739816011774385,-2.4751497619313287,-2.0237194958535003,-2.926580028009157,-2.9099081682603547,-2.309504823490139,-3.51031151303057,-11.346249454189158,6.138455266236621,-28.830954174614938,-2.3166296481091515,-1.8311856015081323,-2.8020736947101708,0.9822476901151148,1.1424483415423126,0.8220470386879172,0.14411365308201854,0.18482704978978323,0.10340025637425385,0.03769932086316439,0.056285443952373934,0.01911319777395484,0.6318306755269074,1.0351952987130246,0.2284660523407902,0.0905903123086794,0.15687628375705392,0.024304340860304877
50,-2.1548728518967755,-1.9835886951195942,-2.326157008673957,-1.910697145293586,-1.5818964057538838,-2.239497884833288,-2.5779990689769443,-1.8575390025084197,-3.298459135445469,-2.2686017318152887,-1.8540078037255197,-2.6831956599050577,-2.5020546430780355,-2.0633646361330134,-2.9407446500230576,1.1227214559297622,1.2357817410681524,1.009661170791372,0.1395572192270226,0.1888897799488743,0.0902246585051709,0.051014724550041676,0.07429533023265451,0.027734118867428843,0.6627960385143299,1.0527120172676778,0.2728800597609819,0.028195367439818597,0.04688454360173334,0.009506191277903857
100,-2.2554062919116573,-2.128410775863618,-2.3824018079596967,-2.0079808276113362,-1.6803315277634452,-2.3356301274592273,-2.8028205569674056,-2.1905490613648566,-3.4150920525699546,-2.3201335854671825,-1.927151881101522,-2.7131152898328432,-3.0804759041796324,-2.4178279678255814,-3.7431238405336833,1.1910270519382593,1.2236037560871726,1.158450347789346,0.10526474548681293,0.14666025509016603,0.06386923588345983,0.018185250783682667,0.02789039420844485,0.008480107358920482,0.3938233425241517,0.727058567939811,0.06058811710849232,0.018949273349811484,0.0252149423561499,0.01268360434347307
200,-2.289215554419642,-2.1969242885029745,-2.38150682033631,-2.4339288081414625,-1.9307937463591163,-2.9370638699238087,-2.4482892381463452,-1.8085399728978753,-3.0880385033948152,-1.977013243685975,-1.6312662392743382,-2.322760248097612,-2.513627284381968,-2.0145054175555925,-3.012749151208343,1.2039769216909055,1.2260285198313614,1.1819253235504497,0.11235987454210453,0.14967083663851205,0.075048912445697,0.03512767236747573,0.059227933292262065,0.011027411442689393,0.350631744291757,0.6926558331790891,0.008607655404424874,0.01589327305822407,0.018879424283855764,0.01290712183259238
500,-2.2019877584982366,-2.066673665291814,-2.3373018517046593,-2.326090487498864,-1.8476466094301611,-2.804534365567567,-2.403169335298018,-1.9436717668945624,-2.8626669037014736,-2.14589286940895,-1.7797905533776186,-2.5119951854402816,-2.962408311059865,-2.216559519505377,-3.7082571026143527,1.2253673953953668,1.240083694001233,1.2106510967895006,0.12355094786281413,0.16558568403865753,0.08151621168697074,0.051061130553590364,0.0822259506430379,0.019896310464142825,0.5099417768290001,0.8866156842193464,0.13326786943865376,0.016599372403674637,0.0198864347934573,0.013312310013891972
1000,-2.2949368188601604,-2.177409981861938,-2.412463655858383,-2.35485260469517,-1.7662343731374943,-2.943470836252846,-2.6749408627618503,-2.1712172943587964,-3.178664431164904,-2.1613343021224987,-1.8211113481557029,-2.5015572560892947,-2.3395067366109497,-1.8155624866544156,-2.863450986567484,1.2286642092638882,1.2383722894813234,1.218956129046453,0.12146641202469408,0.14938661954433552,0.09354620450505263,0.09204993037261726,0.11810678162320382,0.0659930791220307,0.21688501832802537,0.4701583391267341,-0.036388302470683365,0.016637313132142756,0.019992848213939825,0.013281778050345687
